ROL;NOMBRE;DIRECCI”N;GIRO;TIO PAPENTE
20617;VILLAGRAN PALMA HECTOR ALFREDO;MIGUEL ANSORENA† 322;BAZAR -† REGALOS E IMPORTACIONES;COMERCIALES
20625;SYN AVENTURA LIMITADA;LINCOYAN† 361-B;AGENCIAS DE TURISMO (INCLUYE VENTA DE PASAJES);COMERCIALES
20846;SOC COM Y TURISTICA FLOR DEL† LAGO LIMITADO;CABURGUA S/N;CABA—AS;COMERCIALES
20861;SOCIEDAD INMOBILIARIA E INVERSIONES DON MATILDO LIMITADA;CAMINO PUCON VILLARRICA KM 15;CAMPING;COMERCIALES
20888;AUTORENTAS DEL PACIFICO LTDA;GERONIMO DE ALDERETE† 324;ARRIENDO DE AUTOMOVILES;COMERCIALES
20890;CIRAULO MARCELLO ANGELO;AV. B. OHIGGINS 1275;SERVICIO NAUTICO Y GUARDERIA;COMERCIALES
20891;SOCIEDAD BOSS Y MALONNEK LIMITADA;CARHUELLO CABURGUA PUCON KM 8;SERVICIOS TURISTICOS (ARRIENDO DE CABALLOS);COMERCIALES
20893;ALIMENTOS MODERNOS LTDA.;AV. B. OHIGGINS 136;HELADOS, HIELO;COMERCIALES
20897;TURRA RAMIREZ† ELIANER DEL CARMEN;MIGUEL ANSORENA† 399† B;ARTESANIA† -† BAZAR;COMERCIALES
20899;ADMINISTRADORA† ANDES PROFUNDO SPA;CAMINO PUCON VILLARRICA KM. 17;ARRIENDO DE† CABA—AS;COMERCIALES
20900;JARA EPELDE - AGUIRRE NELSON;FRESIA 285;ARTICULOS TIPICOS (ARTESANIA);COMERCIALES
20907;SALLATO CARMONA MARCELA ALEJANDRA;GERONIMO DE ALDERETE† 283 LOCAL 7;BOUTIQUES;COMERCIALES
20914;FORUS S.A.;AV. B. OHIGGINS 112 LOCAL 1;COMERC. CALZADOS ART. CUERO;COMERCIALES
20916;ALFARO JURJEVIC NANCY MILENA;AVDA. BERNARDO OHIGGINS 335;ARTICULOS DE FOTOGRAFIA SERVICIOS DE COMPUTACION Y AGENCIA DE TURISMO;COMERCIALES
20917;RODRIGUEZ VASQUEZ LUZ ALICIA;PASAJE ESTADIO 145;RESIDENCIALES;COMERCIALES
20919;GALLEGOS MORALES VICTOR MANUEL;SECTOR PALGUIN 705;HOSPEDAJE;COMERCIALES
20921;SOCIEDAD NANCY GARRIDO Y OTRO LIMITADA;LOS RISCOS S/N;CABA—AS;COMERCIALES
