"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 13, 2017","5,135.19","5,039.90","5,147.27","5,033.97","-","1.89%"
"Dec 12, 2017","5,039.90","5,018.67","5,052.39","5,008.59","-","0.42%"
"Dec 11, 2017","5,018.67","4,890.44","5,031.42","4,888.95","-","2.69%"
"Dec 07, 2017","4,887.16","4,888.13","4,924.72","4,846.84","-","-0.02%"
"Dec 06, 2017","4,888.13","4,925.21","4,932.27","4,862.89","-","-0.75%"
"Dec 05, 2017","4,925.21","5,014.47","5,017.72","4,923.88","-","-1.78%"
"Dec 04, 2017","5,014.47","5,024.42","5,062.67","4,992.14","-","-0.20%"
"Dec 01, 2017","5,024.42","5,003.40","5,035.02","4,996.98","-","0.42%"
"Nov 30, 2017","5,003.40","5,012.60","5,028.84","4,968.16","-","-0.18%"
"Nov 29, 2017","5,012.60","5,061.20","5,087.71","5,001.05","-","-0.96%"
"Nov 28, 2017","5,061.20","5,032.53","5,072.80","5,022.09","-","0.57%"
"Nov 27, 2017","5,032.53","5,040.51","5,052.94","5,027.31","-","-0.16%"
"Nov 24, 2017","5,040.51","5,034.33","5,072.90","5,024.40","-","0.12%"
"Nov 23, 2017","5,034.33","5,131.61","5,152.21","5,017.70","-","-1.84%"
"Nov 22, 2017","5,128.87","5,199.04","5,223.76","5,122.35","-","-1.35%"
"Nov 21, 2017","5,199.04","5,076.02","5,216.59","5,076.02","-","2.42%"
"Nov 20, 2017","5,076.02","5,391.89","5,391.89","5,059.84","-","-5.86%"
"Nov 17, 2017","5,391.75","5,314.53","5,395.99","5,314.53","-","1.45%"
"Nov 16, 2017","5,314.53","5,273.77","5,343.41","5,273.77","-","0.77%"
"Nov 15, 2017","5,273.77","5,308.66","5,318.15","5,259.91","-","-0.66%"
"Nov 14, 2017","5,308.66","5,337.01","5,374.91","5,299.47","-","-0.53%"
"Nov 13, 2017","5,337.01","5,394.70","5,402.47","5,336.69","-","-1.07%"
"Nov 10, 2017","5,394.70","5,443.89","5,447.83","5,386.35","-","-0.90%"
"Nov 09, 2017","5,443.89","5,485.65","5,496.06","5,419.68","-","-0.76%"
"Nov 08, 2017","5,485.65","5,493.49","5,501.07","5,472.74","-","-0.09%"
"Nov 07, 2017","5,490.82","5,527.56","5,544.24","5,487.42","-","-0.66%"
"Nov 06, 2017","5,527.56","5,485.89","5,541.62","5,485.89","-","0.76%"
"Nov 03, 2017","5,485.89","5,512.07","5,519.41","5,477.56","-","-0.47%"
"Nov 02, 2017","5,512.07","5,588.08","5,591.04","5,489.49","-","-1.36%"
"Oct 31, 2017","5,588.08","5,608.67","5,613.70","5,575.25","-","-0.37%"
"Oct 30, 2017","5,608.67","5,517.89","5,609.80","5,517.89","-","1.67%"
"Oct 26, 2017","5,516.45","5,495.09","5,522.48","5,492.21","-","0.39%"
"Oct 25, 2017","5,495.09","5,536.29","5,543.65","5,489.77","-","-0.74%"
"Oct 24, 2017","5,536.29","5,560.06","5,564.10","5,519.20","-","-0.43%"
"Oct 23, 2017","5,560.06","5,524.46","5,571.79","5,521.78","-","0.65%"
"Oct 20, 2017","5,523.97","5,477.27","5,530.84","5,472.46","-","0.85%"
"Oct 19, 2017","5,477.27","5,517.97","5,517.97","5,472.44","-","-0.74%"
"Oct 18, 2017","5,517.97","5,503.19","5,523.02","5,493.28","-","0.63%"
"Oct 17, 2017","5,483.30","5,485.38","5,495.11","5,465.80","-","-0.04%"
"Oct 16, 2017","5,485.38","5,460.80","5,495.44","5,453.86","-","0.46%"
