"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 04, 2017","8,123.70","8,061.30","8,200.00","7,962.00","156.43K","0.77%"
"Apr 03, 2017","8,061.30","7,976.20","8,085.90","7,910.10","171.74K","1.07%"
"Mar 31, 2017","7,976.20","8,068.20","8,050.00","7,905.10","244.88K","-1.14%"
"Mar 30, 2017","8,068.20","8,135.40","8,135.00","8,000.00","127.12K","-0.83%"
"Mar 29, 2017","8,135.40","8,268.20","8,268.20","8,130.00","485.72K","-1.61%"
"Mar 28, 2017","8,268.20","8,027.20","8,350.00","8,038.00","304.01K","3.00%"
"Mar 27, 2017","8,027.20","8,215.50","8,120.00","8,005.00","225.49K","-2.29%"
"Mar 24, 2017","8,215.50","8,204.90","8,295.00","8,105.10","538.30K","0.13%"
"Mar 23, 2017","8,204.90","8,013.90","8,350.00","8,049.90","254.14K","2.38%"
"Mar 22, 2017","8,013.90","8,098.00","8,097.80","7,951.00","259.93K","-1.04%"
"Mar 21, 2017","8,098.00","8,097.30","8,149.90","7,910.50","349.74K","0.01%"
"Mar 20, 2017","8,097.30","7,979.10","8,150.00","7,979.10","572.22K","0.79%"
"Mar 17, 2017","8,033.50","7,838.70","8,099.00","7,785.00","576.80K","2.49%"
"Mar 16, 2017","7,838.70","7,794.70","7,995.00","7,790.00","661.24K","0.56%"
"Mar 15, 2017","7,794.70","7,649.20","7,800.00","7,600.00","203.25K","1.90%"
"Mar 14, 2017","7,649.20","7,848.00","7,848.00","7,459.00","317.39K","0.80%"
"Mar 13, 2017","7,588.30","7,462.30","7,750.00","7,500.00","254.75K","1.69%"
"Mar 10, 2017","7,462.30","7,507.40","7,511.00","7,405.00","154.51K","-0.60%"
"Mar 09, 2017","7,507.40","7,452.80","7,705.00","7,375.00","148.82K","0.73%"
"Mar 08, 2017","7,452.80","7,459.60","7,455.00","7,311.40","71.33K","-0.09%"
"Mar 07, 2017","7,459.60","7,493.60","7,500.00","7,300.10","115.17K","-0.45%"
"Mar 06, 2017","7,493.60","7,495.10","7,500.10","7,286.00","102.80K","-0.02%"
"Mar 03, 2017","7,495.10","7,295.00","7,530.00","7,284.00","63.91K","3.41%"
"Mar 02, 2017","7,248.10","7,173.80","7,250.00","7,200.00","111.58K","1.04%"
"Mar 01, 2017","7,173.80","7,224.00","7,224.00","7,105.40","112.81K","-0.69%"
